,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
62,Maruti,S CrossZETA 1.3,469999,2015,Hyderabad,Diesel,74484,Manual,2,10455
63,Hyundai,Elite i20SPORTZ 1.2,577699,2017,Hyderabad,Petrol,87864,Manual,2,12851
64,Hyundai,Creta1.6 SX PLUS PETROL,890099,2017,Hyderabad,Petrol,30014,Manual,1,19800
65,Maruti,Wagon R DuoLXI LPG,182399,2008,Hyderabad,Petrol + LPG,99395,Manual,2,4057
66,Maruti,Alto 800LXI,300399,2016,Hyderabad,Petrol,58196,Manual,1,6682
67,Toyota,Innova Crysta2.8 ZX AT 7 STR,1737899,2017,Hyderabad,Diesel,71780,Automatic,2,38659
68,Maruti,BalenoZETA 1.2 K12,595699,2017,Hyderabad,Petrol,62516,Manual,1,13251
69,Maruti,Alto K10VXI,243699,2012,Hyderabad,Petrol,94205,Manual,2,5421
70,Hyundai,i10SPORTZ 1.2,247599,2008,Hyderabad,Petrol,89270,Manual,1,5508
71,Hyundai,i10SPORTZ 1.2 KAPPA2,284899,2011,Hyderabad,Petrol,112433,Manual,2,6337
72,Hyundai,i20 Active1.2 S,603399,2017,Hyderabad,Petrol,109519,Manual,1,13422
73,Maruti,Swift DzireVDI BS IV,514899,2015,Hyderabad,Diesel,97036,Manual,1,11454
74,Maruti,Vitara BrezzaVDI AMT,901599,2019,Hyderabad,Diesel,54705,Automatic,1,20056
75,Maruti,Wagon R 1.0VXI,296499,2012,Hyderabad,Petrol,131884,Manual,2,6595
76,Hyundai,Elite i20SPORTZ 1.2,584799,2017,Hyderabad,Petrol,97090,Manual,1,13009
77,Hyundai,Elite i20ASTA 1.2,552699,2015,Hyderabad,Petrol,115175,Manual,1,12294
78,Maruti,Swift DzireZXI 1.2 BS IV,486199,2015,Hyderabad,Petrol,106675,Manual,1,10815
79,Maruti,Vitara BrezzaZDI AMT,888699,2018,Hyderabad,Diesel,88052,Automatic,2,19769
80,Maruti,Alto K10VXI,263899,2014,Hyderabad,Petrol,118885,Manual,2,5870
81,Maruti,Vitara BrezzaZDI PLUS DUAL TONE,1057099,2019,Hyderabad,Diesel,39695,Manual,1,23515
82,Hyundai,Grand i10MAGNA 1.1 CRDI,383699,2015,Hyderabad,Diesel,141654,Manual,1,8535
83,Volvo,S60SUMMUM D4,1402299,2014,Hyderabad,Diesel,75184,Automatic,1,31193
84,Maruti,CelerioVXI AMT,319599,2014,Hyderabad,Petrol,141639,Automatic,3,7109
85,Maruti,SwiftVDI,459799,2013,Hyderabad,Diesel,115883,Manual,1,10228
86,Honda,CityV AT,408099,2010,Hyderabad,Petrol,151899,Automatic,1,9078
87,Tata,HarrierXZ 2.0L Kryotec,1414299,2019,Hyderabad,Diesel,81325,Manual,1,31460
88,Maruti,BalenoALPHA DDIS 190,718199,2018,Hyderabad,Diesel,93565,Manual,1,15976
89,Maruti,Swift DzireVDI BS IV,478599,2012,Hyderabad,Diesel,129986,Manual,2,10646
